date,sst_actual,sst_anomaly
2000-01-01,28.5445,-0.3289
2000-02-01,28.3332,-0.4451
2000-03-01,28.5280,-0.5436
2000-04-01,29.1469,-0.3405
2000-05-01,29.2042,-0.2533
2000-06-01,28.5267,-0.4648
2000-07-01,28.0575,-0.3523
2000-08-01,28.0552,-0.0562
2000-09-01,28.3902,0.0935
2000-10-01,28.8306,0.0438
2000-11-01,29.2874,0.0345
2000-12-01,28.8544,-0.3719
2001-01-01,28.5386,-0.3348
2001-02-01,28.6185,-0.1598
2001-03-01,28.9453,-0.1264
2001-04-01,29.3463,-0.1411
2001-05-01,29.4237,-0.0339
2001-06-01,28.9465,-0.0450
2001-07-01,28.5008,0.0910
2001-08-01,28.0403,-0.0711
2001-09-01,28.3686,0.0719
2001-10-01,28.7710,-0.0158
2001-11-01,28.9064,-0.3465
2001-12-01,28.7084,-0.5179
2002-01-01,28.4912,-0.3822
2002-02-01,28.2905,-0.4878
2002-03-01,28.7873,-0.2843
2002-04-01,29.4517,-0.0357
2002-05-01,29.4114,-0.0461
2002-06-01,28.8966,-0.0950
2002-07-01,28.3201,-0.0897
2002-08-01,27.9379,-0.1735
2002-09-01,27.9488,-0.3479
2002-10-01,28.5769,-0.2099
2002-11-01,28.9643,-0.2886
2002-12-01,29.3496,0.1234
2003-01-01,28.8693,-0.0041
2003-02-01,28.7104,-0.0679
2003-03-01,28.8227,-0.2490
2003-04-01,29.4376,-0.0498
2003-05-01,29.2913,-0.1662
2003-06-01,28.8794,-0.1122
2003-07-01,28.0767,-0.3332
2003-08-01,27.9054,-0.2060
2003-09-01,28.2234,-0.0733
2003-10-01,28.7538,-0.0330
2003-11-01,29.1032,-0.1496
2003-12-01,28.6583,-0.5680
2004-01-01,28.5355,-0.3379
2004-02-01,28.4336,-0.3446
2004-03-01,28.8587,-0.2130
2004-04-01,29.5292,0.0418
2004-05-01,29.1852,-0.2723
2004-06-01,28.6978,-0.2937
2004-07-01,27.8885,-0.5213
2004-08-01,27.6164,-0.4950
2004-09-01,27.9079,-0.3888
2004-10-01,28.3216,-0.4652
2004-11-01,29.0841,-0.1687
2004-12-01,29.0103,-0.2159
2005-01-01,28.8600,-0.0134
2005-02-01,28.9503,0.1721
2005-03-01,29.2747,0.2030
2005-04-01,29.2476,-0.2398
2005-05-01,29.2287,-0.2289
2005-06-01,28.9653,-0.0263
2005-07-01,28.5694,0.1596
2005-08-01,28.3686,0.2572
2005-09-01,28.5762,0.2795
2005-10-01,29.0377,0.2509
2005-11-01,29.2113,-0.0415
2005-12-01,29.1397,-0.0866
2006-01-01,28.6406,-0.2328
2006-02-01,28.7187,-0.0596
2006-03-01,28.9511,-0.1206
2006-04-01,29.1791,-0.3083
2006-05-01,29.3842,-0.0734
2006-06-01,28.8925,-0.0991
2006-07-01,28.1920,-0.2178
2006-08-01,27.7570,-0.3545
2006-09-01,27.6894,-0.6073
2006-10-01,27.9246,-0.8622
2006-11-01,28.8124,-0.4404
2006-12-01,29.2038,-0.0224
2007-01-01,28.9675,0.0941
2007-02-01,28.8980,0.1197
2007-03-01,28.8329,-0.2388
2007-04-01,29.1673,-0.3201
2007-05-01,29.1734,-0.2842
2007-06-01,28.9251,-0.0665
2007-07-01,28.0824,-0.3274
2007-08-01,27.7122,-0.3993
2007-09-01,28.0129,-0.2837
2007-10-01,28.7801,-0.0067
2007-11-01,29.1077,-0.1452
2007-12-01,29.2032,-0.0231
2008-01-01,28.8080,-0.0653
2008-02-01,28.7424,-0.0359
2008-03-01,28.8477,-0.2239
2008-04-01,29.1841,-0.3033
2008-05-01,28.9103,-0.5473
2008-06-01,28.4152,-0.5763
2008-07-01,27.9757,-0.4341
2008-08-01,27.8514,-0.2600
2008-09-01,28.2938,-0.0029
2008-10-01,28.7992,0.0124
2008-11-01,29.1884,-0.0645
2008-12-01,29.1327,-0.0935
2009-01-01,28.8961,0.0227
2009-02-01,28.6678,-0.1105
2009-03-01,29.0979,0.0263
2009-04-01,29.3959,-0.0915
2009-05-01,29.4574,-0.0002
2009-06-01,29.2526,0.2610
2009-07-01,28.6682,0.2584
2009-08-01,28.3465,0.2351
2009-09-01,28.4634,0.1667
2009-10-01,28.8313,0.0445
2009-11-01,29.1809,-0.0720
2009-12-01,29.0378,-0.1885
2010-01-01,28.7810,-0.0924
2010-02-01,28.9461,0.1678
2010-03-01,29.3037,0.2320
2010-04-01,29.7973,0.3099
2010-05-01,29.8253,0.3677
2010-06-01,29.4301,0.4386
2010-07-01,28.8339,0.4241
2010-08-01,28.5287,0.4173
2010-09-01,28.8931,0.5965
2010-10-01,29.3441,0.5573
2010-11-01,29.5856,0.3327
2010-12-01,29.3276,0.1013
2011-01-01,28.7507,-0.1226
2011-02-01,28.7120,-0.0663
2011-03-01,28.8321,-0.2395
2011-04-01,29.0371,-0.4503
2011-05-01,29.1528,-0.3048
2011-06-01,28.6789,-0.3127
2011-07-01,28.1733,-0.2365
2011-08-01,27.8186,-0.2928
2011-09-01,27.9781,-0.3186
2011-10-01,28.6111,-0.1757
2011-11-01,29.1870,-0.0659
2011-12-01,29.2874,0.0611
2012-01-01,28.9131,0.0397
2012-02-01,28.9032,0.1249
2012-03-01,28.9770,-0.0946
2012-04-01,29.5759,0.0885
2012-05-01,29.5524,0.0948
2012-06-01,28.5989,-0.3927
2012-07-01,27.9168,-0.4930
2012-08-01,27.6296,-0.4818
2012-09-01,27.9373,-0.3594
2012-10-01,28.5690,-0.2178
2012-11-01,29.1949,-0.0580
2012-12-01,29.3299,0.1036
2013-01-01,28.8958,0.0225
2013-02-01,29.1001,0.3218
2013-03-01,29.2454,0.1737
2013-04-01,29.6524,0.1650
